delivery_price,delivery_rating,name,no_of_review,price,rating,seller,seller_rating,stock
1.0,0.0,MumBuds American UltraThin Baby Pants XXL 34Pcs​​,1.0,1.0,0.0,MumBuds USA,0.0,15.0
2.0,0.0,MumBuds American UltraThin Baby Pants XL 36Pcs,2.0,2.0,5.0,MumBuds USA,0.0,10.0
1.0,94.0,Shopmee Men's  Winter Warm Stylish Puffer Jacket With Fur|BPF,1.0,1.0,0.0,Shop Mee,75.0,5.0
11.0,0.0,"(New Launch) Ultima Boost 20K Ultra 20000mAh Powerbank with 65W Fast Charging | LED Display | Triple Ports |  Supports PD, QC3.0, Universal Compatibility | 2 Way Charging | ChargeSafe technology Power bank",11.0,11.0,1.0,Ultima Lifestyle,87.0,1.0
13.0,100.0,Tulip Active Steel Mug 500Ml Steel Vaccum Mug,13.0,13.0,1.0,Tulip_Home_Appliances,0.0,15.0
1.0,94.0,Sweatshirts for Men| Winter Warm | Comfortable Black & White Design |MM5,1.0,1.0,4.5,Shop Mee,75.0,15.0
108.0,0.0,(New Launch) Ultima Prime 1.0 ANC Earbuds with App Support | 60Hrs Playtime | Dual Pairing | EQ Modes | Supreme Sound | 4Mics AI ENC | Game Mode(40ms) | Elegant Appeal | Premium wireless earbuds,108.0,108.0,4.5,Ultima Lifestyle,87.0,1.0
24.0,0.0,"(New Launch) Ultima Active Smartwatch: Sporty & Rugged Built, 1.43” TRU AMOLED display, BT Calling, 24/7 health tracking,  100+ sports modes, SOS, IP68 Waterproof smart watch",24.0,24.0,4.5,Ultima Lifestyle,87.0,1.0
19.0,0.0,"Vaseline Gluta-Hya Dewy Radiance Serum-In-Lotion, 200ml",19.0,19.0,0.0,Unilever,92.0,1.0
1.0,100.0,Men's Splicing Pullover Hooded wind cheater,1.0,1.0,0.0,Lyra,0.0,5.0
6.0,100.0,Jaiphal Pain Relief Massage Oil 100ml,6.0,6.0,0.0,Chinari shop,0.0,15.0
1.0,97.0,Tailor Stitch E-Zhen New Full Sleeve Korean Design T-Shirt For Women,1.0,1.0,0.0,Tailor Stitch,83.0,10.0
2.0,94.0,Iphone Three Pin Charger 20W Power Adapter With USB-C To Lightning Cable For X To 14 Pro Max,2.0,2.0,0.0,ElectraByte,82.0,15.0
3.0,0.0,The Metamorphosis by Franz Kafka,3.0,3.0,1.7,Lakhe Book Store,0.0,0.0
2.0,100.0,Hot & Cold Thermos Bottle With Temperature Display Indicator | Insulated Stainless Steel | Smart Water Bottle | Double Wall Vacuum Cup | Hot and Cold,2.0,2.0,0.0,Crazy NepDeals,91.0,15.0
1.0,100.0,Solid Noise Canceling Isolating Earphones Compatible with Phone 15 Smartphone and Other USB C Device,1.0,1.0,0.0,Diraz np,0.0,15.0
1.0,100.0,Casual Canvas Trendy Sneakers For Men,1.0,1.0,0.0,Jutta Ghar Nepal,76.0,2.0
3.0,100.0,EnchantedRomantic Deo Spray Perfume 150 ml✨️,3.0,3.0,0.0,Awesome Cosmetic,0.0,15.0
2.0,97.0,Cute Cotton Terry Jacket For Women,2.0,2.0,4.1,Tailor Stitch,83.0,10.0
20.0,100.0,"7 in 1 Cleaner Kit, Multi-Function Earbud Cleaning Pen, Soft Brush Corner Gap Duster Keycap Puller Laptop Screen Cleaner",20.0,20.0,0.0,All In  One,0.0,15.0
13.0,100.0,FL1P6 Wireless Bluetooth Speaker Outdoor Riding Card Audio Mp3 Music Player Support Aux Audio Input USB Playback,13.0,13.0,0.0,All In  One,0.0,15.0
9.0,100.0,Lyra Kalaifu Clips for Women,9.0,9.0,4.7,Lyra,0.0,2.0
18.0,100.0,"Mini-311 Premium Bluetooth Speaker: FM Radio, Memory Card Slot, USB Drive Port, and Enhanced Sound Quality",18.0,18.0,0.0,All In  One,0.0,15.0
1.0,0.0,SB Dunk Low Pro Red/Black Premium Sneaker for Men,1.0,1.0,0.0,The Shoe Gallery,83.0,12.0
4.0,100.0,Lyra Hair Band,4.0,4.0,0.0,Lyra,0.0,2.0
7.0,98.0,Men's Stylish Vintage Front Pocket Leather Jacket .,7.0,7.0,0.0,Ramro Chha,82.0,1.0
1.0,100.0,Nuga: Lip Balm - Peach - 5gms,1.0,1.0,0.0, Nuga:,0.0,15.0
6.0,0.0,"Hard Zippered Sunglasses, Spectacles, Eyewear, Sports Glasses Protective Case/Cover",6.0,6.0,0.0,First Looks,0.0,15.0
9.0,100.0,"2-Piece Elegant Kitchen Mat Set -Non-Slip, Absorbent, Easy-Clean Comfort (120x40cm & 60x40cm)",9.0,9.0,0.0,Home Essentials,75.0,15.0
3.0,100.0,Unisex Classic Slip-On Checkerboard Loafers and Moccasins,3.0,3.0,0.0,Jutta Ghar Nepal,76.0,3.0
1.0,100.0,Multi Colour Eyeshadow Palette,1.0,1.0,3.0,Awesome Cosmetic,0.0,15.0
3.0,100.0,Seamless Panties For Women's  | Invisible Design Smooth Stretch Fabric Seamless Panties (3 Pack) Colour Random,3.0,3.0,0.0,Smart Buy Online,0.0,15.0
1.0,88.0,Fashion Gradient Color PC Round Frame Half Frame Sunglasses for Women,1.0,1.0,0.0,BLES ONLINE,88.0,0.0
2.0,100.0,10 Inch Fully Flexible Foldable Gorilla Tripod With Socket Holder,2.0,2.0,0.0,MixMart,0.0,15.0
3.0,100.0,Golden Non Waterproof Watch For Women,3.0,3.0,0.0,Microtel Gadgets,82.0,15.0
14.0,95.0,"Zeblaze Ares 3 Plus Smart Watch | 1.43"" Ultra HD Amoled Display | New 3D Interactive Experience | Bluetooth Calling | IP68 Water Resistance | 1 Year Warranty |",14.0,14.0,0.0,Zeblaze,85.0,1.0
4.0,100.0,Pack of 2 Man Boxer Cotton Underwear shorts Brifs (Color /Print  May vary),4.0,4.0,4.8,Megha Market ,90.0,15.0
72.0,85.0,Rimless Non Polarized Flat Square Black Sunglasses For Men,72.0,72.0,4.8,New national chasma ghar,84.0,0.0
3.0,100.0,COMBO -Kaju 200 Gm Pista 200 Gm Badam 200 Gm Kismis 200 gm Okhar Gudi 200 Gm Packet-Fresh And crunchy,3.0,3.0,4.8,Sampurna Nepal,84.0,1.0
1.0,100.0,Black 100% Original Leather Casual Bi Fold Wallet For Men | Black Solid Casual Purse With Card Holder Compartment,1.0,1.0,4.6,Haji Traders,85.0,15.0
5.0,100.0,"Infinix GT 20 Pro 5G (12/256GB) | 6.78"" Full HD+ 144Hz Amoled Display | MediaTek Dimensity 8200 ultimate 4nm 5G Processor | 5000mAh Battery | 45W Fast Charging",5.0,5.0,4.6,Mobile Hub,86.0,15.0
42.0,0.0,Ncell Wirefree Ma Ultima Gadgets Free Offer. Get 12 Months of Unlimited Internet With Free Ultima AMOLED Smartwatch (Worth Rs. 5999) + Free 4G Router + Free SIM Card (5GB Data & 100 Local Minutes),42.0,42.0,4.6,Ultima X Ncell,0.0,0.0
6.0,76.0,"Redmi 13 (6/128) | 6.79"" FHD+ DotDisplay | MediaTek Helio G91-Ultra processor | 5030mAh (typ) Battery",6.0,6.0,0.0,Xiaomi,90.0,1.0
33.0,100.0,Boxer Cotton 2pack Men Breathable Cool Loose Multicolor Boxer,33.0,33.0,3.3,Megha Market ,90.0,3.0
1.0,95.0,"Zeblaze Thor SQ ANDROID 4G Smart Watch | 2.13"" Ultra HD AMOLED DISPLAY | FRONT CAMERA GOOGLE MAPS | ANDROID OS* SUPPORTS GOOGLE PLAY | 2+16GB | SIM CARD |",1.0,1.0,3.9,Zeblaze,85.0,1.0
150.0,100.0,"Hair Wax Stick For Women Hair Styling, Wax Stick for Hair",150.0,150.0,3.9,Parmeshwar cosmetic,83.0,15.0
22.0,100.0,Belt high Quality,22.0,22.0,3.9,Megha Market ,90.0,11.0
6.0,100.0,Smartwatch Strap For  Size 49mm 45mm 44mm 42mm,6.0,6.0,5.0,Dashain Dhamaka,86.0,15.0
3.0,100.0,SB Dunk Low Pro Sail Pacific Moss Premium Sneaker for Men,3.0,3.0,5.0,Shoes Spot,76.0,5.0
7.0,94.0,25W Charger Adapter+USB-C To Lightning Cable For X To 14 Pro Max,7.0,7.0,4.0,ElectraByte,82.0,15.0
2.0,100.0,INGCO 800W SDS Plus Rotary Hammer With 3 Drills and 2 Chisels RGH9028,2.0,2.0,4.1,INGCO store,91.0,10.0
60.0,100.0,"Soundcore H30i Wireless On-Ear Headphones, Foldable Design, Pure Bass, 70H Playtime, Bluetooth 5.3, Lightweight and Comfortable, App Connectivity, Multipoint Connection (Black)",60.0,60.0,4.0,Anker,91.0,1.0
124.0,92.0,"Wellcore - Pure Micronised Creatine Monohydrate Power (100gm,33 Servings) Lab Tested | Unflavored | Rapid Absorption | Enhance Muscle Strength and Power | Fast Recovery | Increased Muscle Mass",124.0,124.0,4.0,Nepal Enterprises,78.0,0.0
25.0,99.0,SPN's 5Kg Rubber Hex Dumbbell set With Metal Handle - 1 Pc | Rubber Coated Hex Dumbbell With Silver Chrome Casted Handle - 5KG ( Single Piece),25.0,25.0,4.0,SPN'S,90.0,1.0
3.0,0.0,Apple iPhone 11 (128GB) | A13 Bionic 64-bit Processor,3.0,3.0,4.0,Tech Bazar,100.0,2.0
4.0,100.0,Pilgrim Tea Tree Purifying Gel Face Wash 100 ml,4.0,4.0,4.1,Pilgrim,88.0,15.0
2.0,100.0,Pilgrim Tea Tree Light Non-oily Moisturizer 80 gm,2.0,2.0,4.1,Pilgrim,88.0,15.0
140.0,100.0,6 layers Stainless Steel Durable 12mm pipe Multipurpose Shoe Rack,140.0,140.0,5.0,Home Essentials,75.0,15.0
6.0,100.0,Shoes Cleaner Kit For Sneakers/Sports/Leather,6.0,6.0,3.0,Shoes Spot,76.0,15.0
99.0,100.0,Black Leather Classic Martin Boots For Men,99.0,99.0,4.8,Ambe Laxmi General Stores,72.0,15.0
